type,section,longitude,latitude
residential,c2,39.25976136938888, -76.71179889181981
residential,c2,39.25966221318415, -76.71235251186297
residential,c2,39.25960424487451, -76.71257514197671
residential,c2,39.259498986509286, -76.71289825119015
residential,c2,39.25945322195165, -76.71304995489754
residential,c2,39.25941524320381, -76.71312888226586
residential,c2,39.259181331511826, -76.71355181992843
residential,c2,39.2589701781217, -76.71389474234644

residential,c3,39.25852033696516, -76.7080276202314
residential,c3,39.25801570810703, -76.70745670312584
residential,c3,39.25757305273299, -76.70697874135627
residential,c3,39.25703938236918, -76.70650722565269
residential,c3,39.25680991747856, -76.70630886862003

residential,c4,39.25677427471404, -76.70631960923221
residential,c4,39.25673506765217, -76.7065282839833
residential,c4,39.25671130578581, -76.70668785879298
residential,c4,39.256701801037, -76.70677378369048

residential,c5,39.256816361903724, -76.70757384444175
residential,c5,39.25669338865552, -76.70713812147284
residential,c5,39.2566587038542, -76.7068286359996

residential,c6,39.256663433600835, -76.70675330071992
residential,c6,39.25673753292325, -76.70628500033277

residential,c7,39.256707577881194, -76.70623613422255
residential,c7,39.25629207958099, -76.70593623096215

residential,c8,39.25624326687434, -76.7058983714472
residential,c8,39.25616334798331, -76.70585231026709
residential,c8,39.25609465729343, -76.70582330878332
residential,c8,39.25597114597983, -76.70578577745138
residential,c8,39.255853578855906, -76.7057661588009
residential,c8,39.2556944005829, -76.70576104089241
residential,c8,39.25553767000892, -76.70577548155894
residential,c8,39.25529889539136, -76.70583544078818
residential,c8,39.25507485920709, -76.70591919336206
residential,c8,39.25487366820709, -76.70601817367634
residential,c8,39.254724064268736, -76.70611429878954
residential,c8,39.2546503676314, -76.70617140281885

residential,c9,39.25459214723173, -76.70599247686468
residential,c9,39.25466011746819, -76.70596539903119
residential,c9,39.25483353978051, -76.70588360443304
residential,c9,39.25503561393378, -76.70578817740187
residential,c9,39.25515022290298, -76.70573851640056
residential,c9,39.25515248492008, -76.70573851640056
residential,c9,39.25536360619574, -76.70566353801894
residential,c9,39.25560262488039, -76.70560316581866
residential,c9,39.25582128478902, -76.70559440211164
residential,c9,39.25602561809064, -76.70563335191991
residential,c9,39.256258602560656, -76.70572001524414
residential,c9,39.25645464068198, -76.70582517972525
residential,c9,39.256726077167215, -76.7060062963328
residential,c9,39.25683917539743, -76.70608224845702
residential,c9,39.25730212223029, -76.7064571403627
residential,c9,39.25783815720301, -76.70694848220944
residential,c9,39.257896252446784, -76.70701817774815
residential,c9,39.25812159020182, -76.70726024711485
residential,c9,39.25819635648699, -76.70734607780261
residential,c9,39.25839542217308, -76.70756172864482
residential,c9,39.25851224400248, -76.70770187406501
residential,c9,39.25858493304289, -76.70779441027524
residential,c9,39.25865807975471, -76.70788195594493
